control_model	direction_cosine_to_measured_correction	PC1_control	PC2_control	PC3_control	PC3_negative_pull_recovered	control_norm	validation_status	n_features	beta_mode	feature_modality	latent_mean_rmse	latent_mmd_rbf	latent_sliced_wasserstein	latent_covariance_frobenius	dmr_mean_rmse	dmr_correlation	dmr_distributional_rmse	basin_radius_q90	basin_radius_q95	pred_basin_occupancy_q90	pred_basin_occupancy_q95	observed_basin_occupancy_q90	observed_basin_occupancy_q95	pred_mean_distance_to_morula_centroid	observed_mean_distance_to_morula_centroid
methylation_only_strict_baseline		0.0	0.0	0.0	-0.0	0.0	baseline	0	none	none	1.1978195174977648	0.9341820819670775	0.9854541844678504	0.8487798699346262	0.2452184386000582	0.6250208986295589	0.2457427533106557	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.3111111111111111	0.875	0.875	2.163377528533326	1.0224014859114376
measured_missing_correction_upper_bound	0.9999999999999998	-0.7914084798915129	-0.03384844945187903	-1.9175092411566736	1.0	2.0746842626037667	measured_residual_upper_bound	0	measured	measured_residual	1.0571437693441229e-15	0.1037688595092	0.19148968277315598	0.8487798699346262	0.23834895331333006	0.65243711712965	0.2388272028818799	1.5666635350021403	1.9104332695957345	1.0	1.0	0.875	0.875	0.6625605337038466	1.0224014859114376
motif_activity_unit_beta	-0.7203114768506015	-0.08746737207531682	0.08081351054020575	0.2516478961761642	-0.13123686226636694	0.2784026370447726	external_feature_defined	5	unit	motif_activity	1.3183225622970922	1.0036034772415838	1.3122180769240037	0.8487798699346262	0.24655609189658756	0.6198278455577985	0.2470780736481642	1.5666635350021403	1.9104332695957345	0.0	0.044444444444444446	0.875	0.875	2.36707295260346	1.0224014859114376
motif_activity_unit_beta_sign_flip	0.7203114768506015	0.08746737207531682	-0.08081351054020575	-0.2516478961761642	0.13123686226636694	0.2784026370447726	sign_flip_control	5	unit	motif_activity	1.0877687408687757	0.8558486911380567	0.9691919097178288	0.8487798699346263	0.24408738625332677	0.6293574424149021	0.24461109061392677	1.5666635350021403	1.9104332695957345	0.15555555555555556	0.4888888888888889	0.875	0.875	1.9773464474650493	1.0224014859114376
motif_activity_ridge_beta_diagnostic	0.9981402757970796	-0.6608225948065017	-0.05703768919982816	-1.9194640601461241	1.001019457402078	2.0308328532867246	uses_morula_methylation_residual_for_beta	5	ridge_to_measured_correction	motif_activity	0.07658162429896924	0.10804645790294354	0.2019774884482864	0.8487798699346262	0.23826964707855325	0.6523121646861719	0.2387512616939902	1.5666635350021403	1.9104332695957345	1.0	1.0	0.875	0.875	0.6712181250830729	1.0224014859114376
combined_external_unit_beta	-0.7203114768506015	-0.08746737207531682	0.08081351054020575	0.2516478961761642	-0.13123686226636694	0.2784026370447726	external_feature_defined	5	unit	motif_activity	1.3183225622970922	1.0036034772415838	1.2911886568164708	0.8487798699346262	0.24655609189658756	0.6198278455577985	0.2470780736481642	1.5666635350021403	1.9104332695957345	0.0	0.044444444444444446	0.875	0.875	2.36707295260346	1.0224014859114376
combined_external_unit_beta_sign_flip	0.7203114768506015	0.08746737207531682	-0.08081351054020575	-0.2516478961761642	0.13123686226636694	0.2784026370447726	sign_flip_control	5	unit	motif_activity	1.0877687408687757	0.8558486911380567	1.0169509392973202	0.8487798699346263	0.24408738625332677	0.6293574424149021	0.24461109061392677	1.5666635350021403	1.9104332695957345	0.15555555555555556	0.4888888888888889	0.875	0.875	1.9773464474650493	1.0224014859114376
combined_external_ridge_beta_diagnostic	0.9981402757970796	-0.6608225948065017	-0.05703768919982816	-1.9194640601461241	1.001019457402078	2.0308328532867246	uses_morula_methylation_residual_for_beta	5	ridge_to_measured_correction	motif_activity	0.07658162429896924	0.10804645790294354	0.2016553679162001	0.8487798699346262	0.23826964707855325	0.6523121646861719	0.2387512616939902	1.5666635350021403	1.9104332695957345	1.0	1.0	0.875	0.875	0.6712181250830729	1.0224014859114376
all_available_unit_beta	-0.7203114768506015	-0.08746737207531682	0.08081351054020575	0.2516478961761642	-0.13123686226636694	0.2784026370447726	includes_internal_proxy_features	5	unit	motif_activity	1.3183225622970922	1.0036034772415838	1.2032421607080965	0.8487798699346262	0.24655609189658756	0.6198278455577985	0.2470780736481642	1.5666635350021403	1.9104332695957345	0.0	0.044444444444444446	0.875	0.875	2.36707295260346	1.0224014859114376
all_available_unit_beta_sign_flip	0.7203114768506015	0.08746737207531682	-0.08081351054020575	-0.2516478961761642	0.13123686226636694	0.2784026370447726	sign_flip_control	5	unit	motif_activity	1.0877687408687757	0.8558486911380567	0.9772691611078763	0.8487798699346263	0.24408738625332677	0.6293574424149021	0.24461109061392677	1.5666635350021403	1.9104332695957345	0.15555555555555556	0.4888888888888889	0.875	0.875	1.9773464474650493	1.0224014859114376
all_available_ridge_beta_diagnostic	0.9981402757970796	-0.6608225948065017	-0.05703768919982816	-1.9194640601461241	1.001019457402078	2.0308328532867246	uses_morula_methylation_residual_for_beta	5	ridge_to_measured_correction	motif_activity	0.07658162429896924	0.10804645790294354	0.2081137376045288	0.8487798699346262	0.23826964707855325	0.6523121646861719	0.2387512616939902	1.5666635350021403	1.9104332695957345	1.0	1.0	0.875	0.875	0.6712181250830729	1.0224014859114376
