model	validation_status	PC1_control	PC2_control	PC3_control	control_norm	direction_cosine_to_measured_correction	PC1_recovery	PC2_recovery	PC3_recovery	PC3_negative_pull_recovered	PC1_negative_pull_recovered	center_error_vs_observed	latent_mean_rmse	latent_mmd_rbf	latent_sliced_wasserstein	latent_covariance_frobenius	dmr_mean_rmse	dmr_correlation	dmr_distributional_rmse	basin_radius_q90	basin_radius_q95	pred_basin_occupancy_q90	pred_basin_occupancy_q95	observed_basin_occupancy_q90	observed_basin_occupancy_q95	pred_mean_distance_to_morula_centroid	observed_mean_distance_to_morula_centroid	closure_modules	access_modules	random_id
random_partition_0009	random_3closure_2access_partition	-0.05532019060292216	-0.4894060021132148	-0.37746599348604115	0.6205313325136674	0.6090857690862461	0.06990093233585962	14.458742129650089	0.19685224216095426	0.19685224216095426	0.06990093233585962	0.8373352046913101	1.0199823296035573	0.7788944704985183	0.944724380958176	0.8487798699346262	0.2435613623700897	0.6332894466031914	0.2440770192189053	1.5666635350021403	1.9104332695957345	0.3111111111111111	0.5111111111111111	0.875	0.875	1.8597366906027477	1.0224014859114376	M02,M05,M12	M01,M10	9
random_partition_0010	random_3closure_2access_partition	-0.029200676768199152	0.009204267853939518	-0.5390427258644501	0.5399115282875747	0.9431070302560126	0.036897098666673386	-0.2719258342106587	0.2811161032732706	0.2811161032732706	0.036897098666673386	0.6664884124222956	0.9097589800585225	0.7190713154471746	0.8214173168725543	0.8487798699346262	0.24252440819269136	0.6352857691899544	0.24304650695373106	1.5666635350021403	1.9104332695957345	0.4	0.6888888888888889	0.875	0.875	1.6888898983337333	1.0224014859114376	M01,M10,M05	M12,M02	10
random_partition_0011	random_3closure_2access_partition	0.4268955237134879	0.18314250575506102	-0.4639360197412796	0.6565193035960456	0.40053277053845504	-0.5394123699205335	-5.410661602547771	0.24194721453411389	0.24194721453411389	-0.5394123699205335	0.9750708004366457	1.1021531699144667	0.8740396040871781	0.9725103624570882	0.8487798699346262	0.24382760999231254	0.6290242445631923	0.24435145484410084	1.5666635350021403	1.9104332695957345	0.1111111111111111	0.4444444444444444	0.875	0.875	1.9974722863480834	1.0224014859114376	M05,M12,M10	M01,M02	11
random_partition_0012	random_3closure_2access_partition	-0.5114163910846092	-0.6633442400143362	-0.45257269960921165	0.952047453786718	0.6556329349828957	0.6462104009230666	19.5974778979872	0.23602113090011093	0.23602113090011093	0.6462104009230666	0.7032683933050696	0.9346478108341745	0.6987099106102308	0.8190222121951416	0.8487798699346262	0.24305152018113935	0.63805670033192	0.24355853004463382	1.5666635350021403	1.9104332695957345	0.37777777777777777	0.6	0.875	0.875	1.7256698792165073	1.0224014859114376	M05,M01,M02	M12,M10	12
random_partition_0013	random_3closure_2access_partition	0.3719843560469491	-0.424229847428685	0.3872973853692594	0.6843556015018022	-0.7202864255829007	-0.4700282666897139	12.533213612392952	-0.20197941008911913	-0.20197941008911913	-0.4700282666897139	1.6520018577954243	1.5075381821894391	1.0847570944196485	1.2950905026302906	0.8487798699346262	0.2485047528203614	0.6131084905588456	0.24902200659588378	1.5666635350021403	1.9104332695957345	0.0	0.044444444444444446	0.875	0.875	2.674403343706862	1.0224014859114376	M02,M05,M10	M01,M12	13
random_partition_0014	random_3closure_2access_partition	-0.5114163910846092	-0.6633442400143362	-0.4525726996092116	0.952047453786718	0.6556329349828957	0.6462104009230666	19.5974778979872	0.2360211309001109	0.2360211309001109	0.6462104009230666	0.7032683933050696	0.9346478108341745	0.6987099106102306	0.8108075301543635	0.8487798699346262	0.24305152018113935	0.63805670033192	0.24355853004463382	1.5666635350021403	1.9104332695957345	0.37777777777777777	0.6	0.875	0.875	1.7256698792165073	1.0224014859114376	M01,M02,M05	M12,M10	14
random_partition_0015	random_3closure_2access_partition	-0.5114163910846092	-0.6633442400143362	-0.4525726996092116	0.952047453786718	0.6556329349828957	0.6462104009230666	19.5974778979872	0.2360211309001109	0.2360211309001109	0.6462104009230666	0.7032683933050696	0.9346478108341745	0.6987099106102306	0.7544429326683075	0.8487798699346262	0.24305152018113935	0.63805670033192	0.24355853004463382	1.5666635350021403	1.9104332695957345	0.37777777777777777	0.6	0.875	0.875	1.7256698792165073	1.0224014859114376	M01,M02,M05	M12,M10	15
random_partition_0016	random_3closure_2access_partition	-0.4565052234180704	-0.055971886830590234	-1.3038061047197507	1.3825484547848037	0.9982168850629266	0.5768262976922469	1.6536026830464774	0.679947755523344	0.679947755523344	0.5768262976922469	-0.07448772011859117	0.40384864217116573	0.28200959999600483	0.42082845249564116	0.8487798699346262	0.23956369709225395	0.6475674546794258	0.24006175079430622	1.5666635350021403	1.9104332695957345	0.9555555555555556	1.0	0.875	0.875	0.9479137657928465	1.0224014859114376	M05,M01,M12	M02,M10	16
random_partition_0017	random_3closure_2access_partition	0.0973761128202911	0.788490044778118	0.22137065386299665	0.8247445813425628	-0.3087128013700175	-0.1230415332846061	-23.294716820015122	-0.115446981485973	-0.115446981485973	-0.1230415332846061	1.5142011219143674	1.419035571160181	1.0455112154632786	1.3283833432839114	0.8487798699346262	0.24716745273489607	0.6151623038312022	0.24768815761124346	1.5666635350021403	1.9104332695957345	0.0	0.044444444444444446	0.875	0.875	2.536602607825805	1.0224014859114376	M10,M01,M12	M05,M02	17
random_partition_0018	random_3closure_2access_partition	0.4985611456354394	0.35505592949549347	1.1477107650967062	1.3007182359473928	-0.966185899041614	-0.6299668986409934	-10.489577373411509	-0.5985424948483627	-0.5985424948483627	-0.6299668986409934	2.381388386017979	1.9331185458978417	1.185410028635973	1.4657863781526133	0.8487798699346262	0.2546653163516635	0.5866691797114723	0.25517049754395243	1.5666635350021403	1.9104332695957345	0.0	0.0	0.875	0.875	3.403789871929417	1.0224014859114376	M10,M12,M02	M05,M01	18
